StudentID,FirstName,LastName,MiddleName,Email,Phone,Address1,Address2,City,State,USCID,VIPID,MajorID
1,Rachel,Valvo,Danielle,geckert0@tmall.com,652-843-2968,0 Texas Circle,,Kasui,AL,J3L5V54OA,21993929,36
2,Shourish,Kothawale,Shailesh,rbatters1@vinaora.com,428-899-8977,194 Karstens Lane,Apt 88,Orzesze,NY,T0WAPI6CV,30835474,36
3,Flowrence,Dirisipamu,Nikitha ,rdalgettyf@cocolog-nifty.com,420-122-9184,38472 Springs Center,Room 69,Gaotaizi,NY,O88RVNMWD,18821687,36
4,Nithish,Dirisipamu,Nadham ,jlillowg@xrea.com,243-840-6716,1724 Kingsford Center,Room 1237,Langarūd,VA,GZBM96VSZ,50968507,36
5,Eisa,Chaudhary ,,ilayne2@de.vu,189-429-7442,1090 Sunfield Center,Suite 88,Radvanice,DC,USAWLOTLZ,44633533,36
6,Daniel,Ibanez ,,gharme3@tiny.cc,746-720-3443,88958 Grayhawk Center,,Sindangheula,WI,RARJGNDQY,31395535,36
7,Daniel,Scheer ,,pgunny4@wix.com,842-299-5466,2 Oneill Terrace,19th Floor,Tunggar,OK,6KP35G4PW,36298936,36
8,Tyler,Hluskova,Robert ,lbegg5@hubpages.com,564-771-9479,022 Mallard Court,Room 593,Nowa Sarzyna,SC,UUP9CVB0C,96163565,36
9,Nick,Butcher ,,volesen6@army.mil,411-906-3486,93 Mcbride Road,5th Floor,Barajalan,NJ,RF6OWI4D4,69628865,36
10,Sierra,Barbee ,,dmcdonogh7@sciencedirect.com,192-216-0617,7 Red Cloud Center,,Vacenovice,PA,VXE7HVFA6,18538000,36
11,Bao,Pham ,,pocurrigan8@myspace.com,241-438-8004,419 Hallows Lane,,Shancheng,MN,P2CD3JMTB,88620839,113
12,Victor,Lin ,,draddish9@scribd.com,213-405-3102,8216 Stephen Pass,Apt 949,Keroak,IN,0Q1MCX6P7,1585301,113
13,Zuri,Flerinord ,,cgilliea@usnews.com,576-507-5823,0 Shoshone Trail,PO Box 97652,Korhogo,DC,7F7QWRQK7,90533785,113
14,Kate,Curry,,ltippingsb@ted.com,567-452-3030,1063 Sycamore Road,,Haicheng,PA,OTYXNFNGO,67772889,113
15,Jarrett,Kizer ,,pbaudonec@ihg.com,558-261-5061,263 Spohn Plaza,PO Box 39686,Wielgie,CT,31MSDOWPT,83682037,113
16,Travis,Patten ,,icroftsd@constantcontact.com,269-399-6450,63 Sutherland Park,,Kelodan,MO,5PO9XC7R4,88916141,113
17,Tgaja,Johnson ,,jkemwalle@seesaa.net,226-642-0191,09629 Daystar Terrace,,Głogów Małopolski,LA,TBQDZXGZ4,60295835,113
18,Matthew,Knight ,,deathorneh@bandcamp.com,229-986-1489,6 Loeprich Alley,,Xiaohe,PA,32FIIFZYS,13092332,113
19,Emrys,Quick ,,bcarilloi@imgur.com,166-250-6389,148 Gina Court,8th Floor,Pasarnangka,CT,RLJCI7EVC,29775084,113
20,Cassy,Cooper ,,shouldj@etsy.com,714-472-2067,73 Prairie Rose Terrace,,Télimélé,TX,SGU1G0J93,61203642,113
21,Laksh,Budhrani ,,mbrimilcombek@a8.net,310-474-8930,1 Twin Pines Parkway,,Shengli,CA,YK4KY65TY,83238401,36
22,Khushi,Jadhav ,,bbarradelll@ezinearticles.com,298-665-1802,53888 Starling Crossing,Apt 1272,Nikel’,TN,7YBUZ5677,38603232,36
23,Leroy,Jenkins ,,hsmorthitm@tuttocitta.it,377-176-1535,0913 Fair Oaks Trail,,‘Anjarah,MO,OE2ZRMCPY,58362180,36
24,Alan,Manoj ,,wtabnern@vk.com,622-947-3635,73569 7th Road,,An Naşşārīyah,IN,VICSLIG9L,93095607,36
25,Jarod,Valvo,William ,llashbrooko@prlog.org,811-806-4705,913 Mendota Circle,PO Box 23699,Nāḩiyat Hīrān,CA,63YYVAAUP,13079102,36
26,Luffy,Monkey,D. ,myeskovp@imgur.com,126-384-2191,1 Daystar Park,PO Box 24047,Yanai,TN,NVEF8OCG0,15185720,36
27,Zoro,Roronoa ,,pstefiq@mac.com,581-868-2659,2551 Gulseth Way,,Strenči,TX,L1O1GM178,82200046,36
28,Vinsmoke,Sanji ,,breesr@cdc.gov,757-545-4805,997 Delaware Hill,Apt 1594,Hanting,FL,YEXYXZ3ON,65304807,36
29,Freddy,Fazbear,Ar-Ar-Ar ,fbuffs@cdbaby.com,745-332-6820,110 1st Alley,,Jasionów,CA,VY4EUJ9LP,23130933,36
30,FirstName,LastName,NoMiddleName ,jbasert@twitpic.com,799-574-6027,90996 Fair Oaks Avenue,,Pakel,IL,4USDFNGDC,82744059,36
31,Mason,Martin,,egyteshamu@weebly.com,128-723-6858,248 Mariners Cove Parkway,Room 296,Chenghe,VA,C0VK12OQK,38720890,113
32,Lane,Liana,Cannon,lcannon0@telegraph.co.uk,901-295-0781,2380 Stang Center,,Memphis,TX,ZGZ3RNNKT,90023190,113
33,Clio,Juett,,ejuett1@usa.gov,651-720-9227,25565 Glacier Hill Point,Apt 1248,Saint Paul,AZ,RDGXZEW9G,18705255,113
34,Amelie,Vogel,,cvogel2@cloudflare.com,209-931-1169,596 Anzinger Drive,,Visalia,DE,IHGISXPAC,35934731,113
